"","country","indicator","year","value","units"
"866","Tanzania","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","B - National legislation covers some aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products.","none"
"867","Tanzania","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown","No","none"
"868","Eswatini","4.1 Multi-sector and One Health collaboration/coordination","unknown","B - Multi-sectoral working group(s) or coordination committee on AMR established with Government leadership.","none"
"869","Eswatini","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","Yes","none"
"870","Eswatini","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","Yes","none"
"871","Eswatini","5.1 Country progress with development of a national action plan on AMR","unknown","C - National AMR action plan developed.","none"
"872","Eswatini","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","Yes","none"
"873","Eswatini","5.3 If you have published your AMR national action plan, please insert a link here.","unknown",NA,"none"
"874","Eswatini","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","No","none"
"875","Eswatini","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","Yes","none"
"876","Eswatini","6.1 Raising awareness and understanding of AMR risks and response","unknown","B - Some activities in parts of the country to raise awareness about risks of antimicrobial resistance and actions that can be taken to address it.","none"
"877","Eswatini","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","Some activities done in this sector","none"
"878","Eswatini","6.3 Training and professional education on AMR in the veterinary sector","unknown","C - AMR and prudent use of antimicrobial agents are covered in core curricula for graduating veterinarians and for veterinary paraprofessionals in some educational institutions.","none"
"879","Eswatini","6.5 Progress with strengthening veterinary services","unknown","D - Monitoring of Veterinary Services performance carried out regularly, e.g. through PVS Evaluation Follow Up missions.","none"
"880","Eswatini","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","C - Data collected and reported on total quantity of antimicrobials sold for/used in animals and their intended type of use (therapeutic or growth promotion).","none"
"881","Eswatini","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","N/A","none"
"882","Eswatini","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","N/A","none"
"883","Eswatini","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","B - Some activities in place to develop and promote good production practices.","none"
"884","Eswatini","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","B - National legislation covers some aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products.","none"
"885","Eswatini","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown","Yes","none"
"886","Ghana","4.1 Multi-sector and One Health collaboration/coordination","unknown","D - Joint working on issues including agreement on common objectives.","none"
"887","Ghana","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","Yes","none"
"888","Ghana","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","Yes","none"
"889","Ghana","5.1 Country progress with development of a national action plan on AMR","unknown","E - National AMR action plan has funding sources identified, is being implemented, and has relevant sectors involved with a defined monitoring and evaluation process in place.","none"
"890","Ghana","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","Yes","none"
"891","Ghana","5.3 If you have published your AMR national action plan, please insert a link here.","unknown","http://www.moh.gov.gh/wp-content/uploads/2018/04/NAP_FINAL_PDF_A4_19.03.2018-SIGNED-1.pdf","none"
"892","Ghana","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","No","none"
"893","Ghana","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","Yes","none"
"894","Ghana","6.1 Raising awareness and understanding of AMR risks and response","unknown","D - Nationwide, government-supported antimicrobial resistance awareness campaign targeting all or the majority of priority stakeholder groups, based on stakeholder analysis, utilizing targeted messaging accordingly within sectors.","none"
"895","Ghana","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","This sector is a main focus for activities","none"
"896","Ghana","6.3 Training and professional education on AMR in the veterinary sector","unknown","B - Ad hoc AMR training courses available for veterinary related professionals.","none"
"897","Ghana","6.5 Progress with strengthening veterinary services","unknown","C - Implementation of plan to strengthen capacity gaps in Veterinary Services underway.","none"
"898","Ghana","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","D - On a regular basis, data is collected and reported to the OIE on the total quantity of antimicrobials sold for/used in animals nationally, by antimicrobial class, by species (aquatic or terrestrial), method of administration, and by type of use (therapeutic or growth promotion).","none"
"899","Ghana","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","No","none"
"900","Ghana","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","No","none"
"901","Ghana","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","B - Some activities in place to develop and promote good production practices.","none"
"902","Ghana","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","B - National legislation covers some aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products.","none"
"903","Ghana","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown","No","none"
"904","Nigeria","4.1 Multi-sector and One Health collaboration/coordination","unknown","C - Multi-sectoral working group(s) is (are) functional, with clear terms of reference, regular meetings, and funding for working group(s) with activities and reporting/accountability arrangements defined.","none"
"905","Nigeria","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","Yes","none"
"906","Nigeria","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","Yes","none"
"907","Nigeria","5.1 Country progress with development of a national action plan on AMR","unknown","D - National AMR action plan approved by government that reflects Global Action Plan objectives, with a budgeted operational plan and monitoring arrangements.","none"
"908","Nigeria","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","No","none"
"909","Nigeria","5.3 If you have published your AMR national action plan, please insert a link here.","unknown","https://ncdc.gov.ng/themes/common/docs/protocols/77_1511368219.pdf","none"
"910","Nigeria","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","No","none"
"911","Nigeria","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","No","none"
"912","Nigeria","6.1 Raising awareness and understanding of AMR risks and response","unknown","D - Nationwide, government-supported antimicrobial resistance awareness campaign targeting all or the majority of priority stakeholder groups, based on stakeholder analysis, utilizing targeted messaging accordingly within sectors.","none"
"913","Nigeria","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","This sector is a main focus for activities","none"
"914","Nigeria","6.3 Training and professional education on AMR in the veterinary sector","unknown","B - Ad hoc AMR training courses available for veterinary related professionals.","none"
"915","Nigeria","6.5 Progress with strengthening veterinary services","unknown","D - Monitoring of Veterinary Services performance carried out regularly, e.g. through PVS Evaluation Follow Up missions.","none"
"916","Nigeria","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","C - Data collected and reported on total quantity of antimicrobials sold for/used in animals and their intended type of use (therapeutic or growth promotion).","none"
"917","Nigeria","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","N/A","none"
"918","Nigeria","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","N/A","none"
"919","Nigeria","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","B - Some activities in place to develop and promote good production practices.","none"
"920","Nigeria","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","C - National legislation covers all aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products.","none"
"921","Nigeria","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown","No","none"
"922","Somalia","4.1 Multi-sector and One Health collaboration/coordination","unknown","A - No formal multi-sectoral governance or coordination mechanism on AMR exists.","none"
"923","Somalia","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","Yes","none"
"924","Somalia","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","No","none"
"925","Somalia","5.1 Country progress with development of a national action plan on AMR","unknown","A - No national AMR action plan.","none"
"926","Somalia","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","No","none"
"927","Somalia","5.3 If you have published your AMR national action plan, please insert a link here.","unknown",NA,"none"
"928","Somalia","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","Yes","none"
"929","Somalia","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","Yes","none"
"930","Somalia","6.1 Raising awareness and understanding of AMR risks and response","unknown","B - Some activities in parts of the country to raise awareness about risks of antimicrobial resistance and actions that can be taken to address it.","none"
"931","Somalia","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","This sector not involved","none"
"932","Somalia","6.3 Training and professional education on AMR in the veterinary sector","unknown","B - Ad hoc AMR training courses available for veterinary related professionals.","none"
"933","Somalia","6.5 Progress with strengthening veterinary services","unknown","A - No systematic approach at national level to strengthening Veterinary Services.","none"
"934","Somalia","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","A - No national plan or system for monitoring sales/use of antimicrobials in animals.","none"
"935","Somalia","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","N/A","none"
"936","Somalia","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","N/A","none"
"937","Somalia","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","A - No systematic efforts to improve good production practices.","none"
"938","Somalia","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","B - National legislation covers some aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products.","none"
"939","Somalia","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown","No","none"
"940","Benin","4.1 Multi-sector and One Health collaboration/coordination","unknown","B - Multi-sectoral working group(s) or coordination committee on AMR established with Government leadership.","none"
"941","Benin","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","No","none"
"942","Benin","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","Yes","none"
"943","Benin","5.1 Country progress with development of a national action plan on AMR","unknown","C - National AMR action plan developed.","none"
"944","Benin","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","Yes","none"
"945","Benin","5.3 If you have published your AMR national action plan, please insert a link here.","unknown",NA,"none"
"946","Benin","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","No","none"
"947","Benin","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","Yes","none"
"948","Benin","6.1 Raising awareness and understanding of AMR risks and response","unknown","C - Limited or small-scale antimicrobial resistance awareness campaign targeting some but not all relevant stakeholders.","none"
"949","Benin","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","Some activities done in this sector","none"
"950","Benin","6.3 Training and professional education on AMR in the veterinary sector","unknown","C - AMR and prudent use of antimicrobial agents are covered in core curricula for graduating veterinarians and for veterinary paraprofessionals in some educational institutions.","none"
"951","Benin","6.5 Progress with strengthening veterinary services","unknown","C - Implementation of plan to strengthen capacity gaps in Veterinary Services underway.","none"
"952","Benin","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","D - On a regular basis, data is collected and reported to the OIE on the total quantity of antimicrobials sold for/used in animals nationally, by antimicrobial class, by species (aquatic or terrestrial), method of administration, and by type of use (therapeutic or growth promotion).","none"
"953","Benin","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","N/A","none"
"954","Benin","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","N/A","none"
"955","Benin","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","C - National plan agreed to ensure good production practices in line with international standards (e.g. OIE Terrestrial and Aquatic Codes, Codex Alimentarius). Nationally agreed guidance for good production practices developed, adapted for implementation at local farm and food production level.","none"
"956","Benin","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","C - National legislation covers all aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products.","none"
"957","Benin","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown","Yes","none"
"958","Liberia","4.1 Multi-sector and One Health collaboration/coordination","unknown","B - Multi-sectoral working group(s) or coordination committee on AMR established with Government leadership.","none"
"959","Liberia","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","Yes","none"
"960","Liberia","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","Yes","none"
"961","Liberia","5.1 Country progress with development of a national action plan on AMR","unknown","E - National AMR action plan has funding sources identified, is being implemented, and has relevant sectors involved with a defined monitoring and evaluation process in place.","none"
"962","Liberia","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","Yes","none"
"963","Liberia","5.3 If you have published your AMR national action plan, please insert a link here.","unknown","Not yet","none"
"964","Liberia","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","Yes","none"
"965","Liberia","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","Yes","none"
"966","Liberia","6.1 Raising awareness and understanding of AMR risks and response","unknown","D - Nationwide, government-supported antimicrobial resistance awareness campaign targeting all or the majority of priority stakeholder groups, based on stakeholder analysis, utilizing targeted messaging accordingly within sectors.","none"
"967","Liberia","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","Some activities done in this sector","none"
"968","Liberia","6.3 Training and professional education on AMR in the veterinary sector","unknown","B - Ad hoc AMR training courses available for veterinary related professionals.","none"
"969","Liberia","6.5 Progress with strengthening veterinary services","unknown","D - Monitoring of Veterinary Services performance carried out regularly, e.g. through PVS Evaluation Follow Up missions.","none"
"970","Liberia","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","A - No national plan or system for monitoring sales/use of antimicrobials in animals.","none"
"971","Liberia","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","N/A","none"
"972","Liberia","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","N/A","none"
"973","Liberia","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","C - National plan agreed to ensure good production practices in line with international standards (e.g. OIE Terrestrial and Aquatic Codes, Codex Alimentarius). Nationally agreed guidance for good production practices developed, adapted for implementation at local farm and food production level.","none"
"974","Liberia","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","B - National legislation covers some aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products.","none"
"975","Liberia","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown","Yes","none"
"976","South Africa","4.1 Multi-sector and One Health collaboration/coordination","unknown","D - Joint working on issues including agreement on common objectives.","none"
"977","South Africa","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","No","none"
"978","South Africa","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","No","none"
"979","South Africa","5.1 Country progress with development of a national action plan on AMR","unknown","C - National AMR action plan developed.","none"
"980","South Africa","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","Yes","none"
"981","South Africa","5.3 If you have published your AMR national action plan, please insert a link here.","unknown","www.health.gov.za/index.php/antimicrobial-resistance","none"
"982","South Africa","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","No","none"
"983","South Africa","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","Yes","none"
"984","South Africa","6.1 Raising awareness and understanding of AMR risks and response","unknown","D - Nationwide, government-supported antimicrobial resistance awareness campaign targeting all or the majority of priority stakeholder groups, based on stakeholder analysis, utilizing targeted messaging accordingly within sectors.","none"
"985","South Africa","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","Some activities done in this sector","none"
"986","South Africa","6.3 Training and professional education on AMR in the veterinary sector","unknown","C - AMR and prudent use of antimicrobial agents are covered in core curricula for graduating veterinarians and for veterinary paraprofessionals in some educational institutions.","none"
"987","South Africa","6.5 Progress with strengthening veterinary services","unknown","D - Monitoring of Veterinary Services performance carried out regularly, e.g. through PVS Evaluation Follow Up missions.","none"
"988","South Africa","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","B - Plan agreed for monitoring quantities of antimicrobials sold for/used in animals, based on OIE standards.10","none"
"989","South Africa","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","N/A","none"
"990","South Africa","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","N/A","none"
"991","South Africa","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","B - Some activities in place to develop and promote good production practices.","none"
"992","South Africa","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","C - National legislation covers all aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products.","none"
"993","South Africa","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown","No","none"
"994","Zambia","4.1 Multi-sector and One Health collaboration/coordination","unknown","C - Multi-sectoral working group(s) is (are) functional, with clear terms of reference, regular meetings, and funding for working group(s) with activities and reporting/accountability arrangements defined.","none"
"995","Zambia","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","Yes","none"
"996","Zambia","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","Yes","none"
"997","Zambia","5.1 Country progress with development of a national action plan on AMR","unknown","D - National AMR action plan approved by government that reflects Global Action Plan objectives, with a budgeted operational plan and monitoring arrangements.","none"
"998","Zambia","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","No","none"
"999","Zambia","5.3 If you have published your AMR national action plan, please insert a link here.","unknown","https://www.afro.who.int/publications/multi-sectoral-national-action-plan-antimicrobial-resistance-2017-2027","none"
"1000","Zambia","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","No","none"
"1001","Zambia","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","Yes","none"
"1002","Zambia","6.1 Raising awareness and understanding of AMR risks and response","unknown","C - Limited or small-scale antimicrobial resistance awareness campaign targeting some but not all relevant stakeholders.","none"
"1003","Zambia","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","Some activities done in this sector","none"
"1004","Zambia","6.3 Training and professional education on AMR in the veterinary sector","unknown","C - AMR and prudent use of antimicrobial agents are covered in core curricula for graduating veterinarians and for veterinary paraprofessionals in some educational institutions.","none"
"1005","Zambia","6.5 Progress with strengthening veterinary services","unknown","D - Monitoring of Veterinary Services performance carried out regularly, e.g. through PVS Evaluation Follow Up missions.","none"
"1006","Zambia","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","D - On a regular basis, data is collected and reported to the OIE on the total quantity of antimicrobials sold for/used in animals nationally, by antimicrobial class, by species (aquatic or terrestrial), method of administration, and by type of use (therapeutic or growth promotion).","none"
"1007","Zambia","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","N/A","none"
"1008","Zambia","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","N/A","none"
"1009","Zambia","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","B - Some activities in place to develop and promote good production practices.","none"
"1010","Zambia","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","C - National legislation covers all aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products.","none"
"1011","Zambia","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown","Yes","none"
"1012","Sudan","4.1 Multi-sector and One Health collaboration/coordination","unknown","B - Multi-sectoral working group(s) or coordination committee on AMR established with Government leadership.","none"
"1013","Sudan","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","No","none"
"1014","Sudan","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","Yes","none"
"1015","Sudan","5.1 Country progress with development of a national action plan on AMR","unknown","D - National AMR action plan approved by government that reflects Global Action Plan objectives, with a budgeted operational plan and monitoring arrangements.","none"
"1016","Sudan","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","Yes","none"
"1017","Sudan","5.3 If you have published your AMR national action plan, please insert a link here.","unknown","https://www.who.int/antimicrobial-resistance/national-action-plans/library/en/","none"
"1018","Sudan","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","No","none"
"1019","Sudan","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","No","none"
"1020","Sudan","6.1 Raising awareness and understanding of AMR risks and response","unknown","D - Nationwide, government-supported antimicrobial resistance awareness campaign targeting all or the majority of priority stakeholder groups, based on stakeholder analysis, utilizing targeted messaging accordingly within sectors.","none"
"1021","Sudan","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","Some activities done in this sector","none"
"1022","Sudan","6.3 Training and professional education on AMR in the veterinary sector","unknown","B - Ad hoc AMR training courses available for veterinary related professionals.","none"
"1023","Sudan","6.5 Progress with strengthening veterinary services","unknown","C - Implementation of plan to strengthen capacity gaps in Veterinary Services underway.","none"
"1024","Sudan","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","C - Data collected and reported on total quantity of antimicrobials sold for/used in animals and their intended type of use (therapeutic or growth promotion).","none"
"1025","Sudan","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","N/A","none"
"1026","Sudan","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","N/A","none"
"1027","Sudan","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","B - Some activities in place to develop and promote good production practices.","none"
"1028","Sudan","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","B - National legislation covers some aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products.","none"
"1029","Sudan","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown",NA,"none"
"1030","South Sudan","4.1 Multi-sector and One Health collaboration/coordination","unknown","A - No formal multi-sectoral governance or coordination mechanism on AMR exists.","none"
"1031","South Sudan","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","Yes","none"
"1032","South Sudan","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","Yes","none"
"1033","South Sudan","5.1 Country progress with development of a national action plan on AMR","unknown","A - No national AMR action plan.","none"
"1034","South Sudan","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","No","none"
"1035","South Sudan","5.3 If you have published your AMR national action plan, please insert a link here.","unknown",NA,"none"
