"country","indicator","year","value","units"
"Tunisia","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","Yes","none"
"Tunisia","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","Yes","none"
"Tunisia","5.1 Country progress with development of a national action plan on AMR","unknown","D - National AMR action plan approved by government that reflects Global Action Plan objectives, with a budgeted operational plan and monitoring arrangements.","none"
"Tunisia","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","Yes","none"
"Tunisia","5.3 If you have published your AMR national action plan, please insert a link here.","unknown","http://www.santetunisie.rns.tn/fr/toutes-les-actualites/1036-plan-d-action-national-de-lutte-contre-la-r%C3%A9sistance-aux-antimicrobiens-en-tunisie-2019-2023","none"
"Tunisia","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","Yes","none"
"Tunisia","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","No","none"
"Tunisia","6.1 Raising awareness and understanding of AMR risks and response","unknown","C - Limited or small-scale antimicrobial resistance awareness campaign targeting some but not all relevant stakeholders.","none"
"Tunisia","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","Some activities done in this sector","none"
"Tunisia","6.3 Training and professional education on AMR in the veterinary sector","unknown","C - AMR and prudent use of antimicrobial agents are covered in core curricula for graduating veterinarians and for veterinary paraprofessionals in some educational institutions.","none"
"Tunisia","6.5 Progress with strengthening veterinary services","unknown","C - Implementation of plan to strengthen capacity gaps in Veterinary Services underway.","none"
"Tunisia","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","C - Data collected and reported on total quantity of antimicrobials sold for/used in animals and their intended type of use (therapeutic or growth promotion).","none"
"Tunisia","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","N/A","none"
"Tunisia","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","N/A","none"
"Tunisia","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","C - National plan agreed to ensure good production practices in line with international standards (e.g. OIE Terrestrial and Aquatic Codes, Codex Alimentarius). Nationally agreed guidance for good production practices developed, adapted for implementation at local farm and food production level.","none"
"Tunisia","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","C - National legislation covers all aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products.","none"
"Tunisia","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown",NA,"none"
"Morocco","4.1 Multi-sector and One Health collaboration/coordination","unknown","D - Joint working on issues including agreement on common objectives.","none"
"Morocco","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","Yes","none"
"Morocco","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","No","none"
"Morocco","5.1 Country progress with development of a national action plan on AMR","unknown","C - National AMR action plan developed.","none"
"Morocco","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","No","none"
"Morocco","5.3 If you have published your AMR national action plan, please insert a link here.","unknown",NA,"none"
"Morocco","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","Yes","none"
"Morocco","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","Yes","none"
"Morocco","6.1 Raising awareness and understanding of AMR risks and response","unknown","D - Nationwide, government-supported antimicrobial resistance awareness campaign targeting all or the majority of priority stakeholder groups, based on stakeholder analysis, utilizing targeted messaging accordingly within sectors.","none"
"Morocco","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","This sector is a main focus for activities","none"
"Morocco","6.3 Training and professional education on AMR in the veterinary sector","unknown","E - AMR is systematically and formally incorporated in curricula for graduating veterinarians and veterinary paraprofessionals and continuing professional training is a formal requirement.","none"
"Morocco","6.5 Progress with strengthening veterinary services","unknown","D - Monitoring of Veterinary Services performance carried out regularly, e.g. through PVS Evaluation Follow Up missions.","none"
"Morocco","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","E - Data on antimicrobials used under veterinary supervision in animals are available at farm level, for individual animal species.","none"
"Morocco","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","No","none"
"Morocco","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","No","none"
"Morocco","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","B - Some activities in place to develop and promote good production practices.","none"
"Morocco","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","E - Enforcement processes and control are in place to ensure compliance with legislation.","none"
"Morocco","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown",NA,"none"
"Tanzania","4.1 Multi-sector and One Health collaboration/coordination","unknown","D - Joint working on issues including agreement on common objectives.","none"
"Tanzania","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","No","none"
"Tanzania","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","No","none"
"Tanzania","5.1 Country progress with development of a national action plan on AMR","unknown","E - National AMR action plan has funding sources identified, is being implemented, and has relevant sectors involved with a defined monitoring and evaluation process in place.","none"
"Tanzania","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","Yes","none"
"Tanzania","5.3 If you have published your AMR national action plan, please insert a link here.","unknown","https://www.afro.who.int/publications/national-action-plan-antimicrobial-resistance-2017-2022","none"
"Tanzania","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","No","none"
"Tanzania","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","Yes","none"
"Tanzania","6.1 Raising awareness and understanding of AMR risks and response","unknown","D - Nationwide, government-supported antimicrobial resistance awareness campaign targeting all or the majority of priority stakeholder groups, based on stakeholder analysis, utilizing targeted messaging accordingly within sectors.","none"
"Tanzania","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","This sector is a main focus for activities","none"
"Tanzania","6.3 Training and professional education on AMR in the veterinary sector","unknown","D - Continuing professional training on antimicrobial resistance and antimicrobial use is available nationwide for veterinary related professionals.","none"
"Tanzania","6.5 Progress with strengthening veterinary services","unknown","D - Monitoring of Veterinary Services performance carried out regularly, e.g. through PVS Evaluation Follow Up missions.","none"
"Tanzania","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","D - On a regular basis, data is collected and reported to the OIE on the total quantity of antimicrobials sold for/used in animals nationally, by antimicrobial class, by species (aquatic or terrestrial), method of administration, and by type of use (therapeutic or growth promotion).","none"
"Tanzania","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","N/A","none"
"Tanzania","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","N/A","none"
"Tanzania","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","C - National plan agreed to ensure good production practices in line with international standards (e.g. OIE Terrestrial and Aquatic Codes, Codex Alimentarius). Nationally agreed guidance for good production practices developed, adapted for implementation at local farm and food production level.","none"
"Tanzania","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","B - National legislation covers some aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products.","none"
"Tanzania","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown","No","none"
"Eswatini","4.1 Multi-sector and One Health collaboration/coordination","unknown","B - Multi-sectoral working group(s) or coordination committee on AMR established with Government leadership.","none"
"Eswatini","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","Yes","none"
"Eswatini","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","Yes","none"
"Eswatini","5.1 Country progress with development of a national action plan on AMR","unknown","C - National AMR action plan developed.","none"
"Eswatini","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","Yes","none"
"Eswatini","5.3 If you have published your AMR national action plan, please insert a link here.","unknown",NA,"none"
"Eswatini","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","No","none"
"Eswatini","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","Yes","none"
"Eswatini","6.1 Raising awareness and understanding of AMR risks and response","unknown","B - Some activities in parts of the country to raise awareness about risks of antimicrobial resistance and actions that can be taken to address it.","none"
"Eswatini","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","Some activities done in this sector","none"
"Eswatini","6.3 Training and professional education on AMR in the veterinary sector","unknown","C - AMR and prudent use of antimicrobial agents are covered in core curricula for graduating veterinarians and for veterinary paraprofessionals in some educational institutions.","none"
"Eswatini","6.5 Progress with strengthening veterinary services","unknown","D - Monitoring of Veterinary Services performance carried out regularly, e.g. through PVS Evaluation Follow Up missions.","none"
"Eswatini","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","C - Data collected and reported on total quantity of antimicrobials sold for/used in animals and their intended type of use (therapeutic or growth promotion).","none"
"Eswatini","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","N/A","none"
"Eswatini","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","N/A","none"
"Eswatini","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","B - Some activities in place to develop and promote good production practices.","none"
"Eswatini","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","B - National legislation covers some aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products.","none"
"Eswatini","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown","Yes","none"
"Ghana","4.1 Multi-sector and One Health collaboration/coordination","unknown","D - Joint working on issues including agreement on common objectives.","none"
"Ghana","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","Yes","none"
"Ghana","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","Yes","none"
"Ghana","5.1 Country progress with development of a national action plan on AMR","unknown","E - National AMR action plan has funding sources identified, is being implemented, and has relevant sectors involved with a defined monitoring and evaluation process in place.","none"
"Ghana","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","Yes","none"
"Ghana","5.3 If you have published your AMR national action plan, please insert a link here.","unknown","http://www.moh.gov.gh/wp-content/uploads/2018/04/NAP_FINAL_PDF_A4_19.03.2018-SIGNED-1.pdf","none"
"Ghana","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","No","none"
"Ghana","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","Yes","none"
"Ghana","6.1 Raising awareness and understanding of AMR risks and response","unknown","D - Nationwide, government-supported antimicrobial resistance awareness campaign targeting all or the majority of priority stakeholder groups, based on stakeholder analysis, utilizing targeted messaging accordingly within sectors.","none"
"Ghana","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","This sector is a main focus for activities","none"
"Ghana","6.3 Training and professional education on AMR in the veterinary sector","unknown","B - Ad hoc AMR training courses available for veterinary related professionals.","none"
"Ghana","6.5 Progress with strengthening veterinary services","unknown","C - Implementation of plan to strengthen capacity gaps in Veterinary Services underway.","none"
"Ghana","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","D - On a regular basis, data is collected and reported to the OIE on the total quantity of antimicrobials sold for/used in animals nationally, by antimicrobial class, by species (aquatic or terrestrial), method of administration, and by type of use (therapeutic or growth promotion).","none"
"Ghana","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","No","none"
"Ghana","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","No","none"
"Ghana","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","B - Some activities in place to develop and promote good production practices.","none"
"Ghana","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","B - National legislation covers some aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products.","none"
"Ghana","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown","No","none"
"Nigeria","4.1 Multi-sector and One Health collaboration/coordination","unknown","C - Multi-sectoral working group(s) is (are) functional, with clear terms of reference, regular meetings, and funding for working group(s) with activities and reporting/accountability arrangements defined.","none"
"Nigeria","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","Yes","none"
"Nigeria","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","Yes","none"
"Nigeria","5.1 Country progress with development of a national action plan on AMR","unknown","D - National AMR action plan approved by government that reflects Global Action Plan objectives, with a budgeted operational plan and monitoring arrangements.","none"
"Nigeria","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","No","none"
"Nigeria","5.3 If you have published your AMR national action plan, please insert a link here.","unknown","https://ncdc.gov.ng/themes/common/docs/protocols/77_1511368219.pdf","none"
"Nigeria","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","No","none"
"Nigeria","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","No","none"
"Nigeria","6.1 Raising awareness and understanding of AMR risks and response","unknown","D - Nationwide, government-supported antimicrobial resistance awareness campaign targeting all or the majority of priority stakeholder groups, based on stakeholder analysis, utilizing targeted messaging accordingly within sectors.","none"
"Nigeria","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","This sector is a main focus for activities","none"
"Nigeria","6.3 Training and professional education on AMR in the veterinary sector","unknown","B - Ad hoc AMR training courses available for veterinary related professionals.","none"
"Nigeria","6.5 Progress with strengthening veterinary services","unknown","D - Monitoring of Veterinary Services performance carried out regularly, e.g. through PVS Evaluation Follow Up missions.","none"
"Nigeria","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","C - Data collected and reported on total quantity of antimicrobials sold for/used in animals and their intended type of use (therapeutic or growth promotion).","none"
"Nigeria","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","N/A","none"
"Nigeria","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","N/A","none"
"Nigeria","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","B - Some activities in place to develop and promote good production practices.","none"
"Nigeria","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","C - National legislation covers all aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products.","none"
"Nigeria","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown","No","none"
"Somalia","4.1 Multi-sector and One Health collaboration/coordination","unknown","A - No formal multi-sectoral governance or coordination mechanism on AMR exists.","none"
"Somalia","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","Yes","none"
"Somalia","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","No","none"
"Somalia","5.1 Country progress with development of a national action plan on AMR","unknown","A - No national AMR action plan.","none"
"Somalia","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","No","none"
"Somalia","5.3 If you have published your AMR national action plan, please insert a link here.","unknown",NA,"none"
"Somalia","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","Yes","none"
"Somalia","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","Yes","none"
"Somalia","6.1 Raising awareness and understanding of AMR risks and response","unknown","B - Some activities in parts of the country to raise awareness about risks of antimicrobial resistance and actions that can be taken to address it.","none"
"Somalia","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","This sector not involved","none"
"Somalia","6.3 Training and professional education on AMR in the veterinary sector","unknown","B - Ad hoc AMR training courses available for veterinary related professionals.","none"
"Somalia","6.5 Progress with strengthening veterinary services","unknown","A - No systematic approach at national level to strengthening Veterinary Services.","none"
"Somalia","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","A - No national plan or system for monitoring sales/use of antimicrobials in animals.","none"
"Somalia","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","N/A","none"
"Somalia","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","N/A","none"
"Somalia","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","A - No systematic efforts to improve good production practices.","none"
"Somalia","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","B - National legislation covers some aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products.","none"
"Somalia","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown","No","none"
"Benin","4.1 Multi-sector and One Health collaboration/coordination","unknown","B - Multi-sectoral working group(s) or coordination committee on AMR established with Government leadership.","none"
"Benin","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","No","none"
"Benin","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","Yes","none"
"Benin","5.1 Country progress with development of a national action plan on AMR","unknown","C - National AMR action plan developed.","none"
"Benin","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","Yes","none"
"Benin","5.3 If you have published your AMR national action plan, please insert a link here.","unknown",NA,"none"
"Benin","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","No","none"
"Benin","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","Yes","none"
"Benin","6.1 Raising awareness and understanding of AMR risks and response","unknown","C - Limited or small-scale antimicrobial resistance awareness campaign targeting some but not all relevant stakeholders.","none"
"Benin","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","Some activities done in this sector","none"
"Benin","6.3 Training and professional education on AMR in the veterinary sector","unknown","C - AMR and prudent use of antimicrobial agents are covered in core curricula for graduating veterinarians and for veterinary paraprofessionals in some educational institutions.","none"
"Benin","6.5 Progress with strengthening veterinary services","unknown","C - Implementation of plan to strengthen capacity gaps in Veterinary Services underway.","none"
"Benin","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","D - On a regular basis, data is collected and reported to the OIE on the total quantity of antimicrobials sold for/used in animals nationally, by antimicrobial class, by species (aquatic or terrestrial), method of administration, and by type of use (therapeutic or growth promotion).","none"
"Benin","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","N/A","none"
"Benin","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","N/A","none"
"Benin","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","C - National plan agreed to ensure good production practices in line with international standards (e.g. OIE Terrestrial and Aquatic Codes, Codex Alimentarius). Nationally agreed guidance for good production practices developed, adapted for implementation at local farm and food production level.","none"
"Benin","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","C - National legislation covers all aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products.","none"
"Benin","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown","Yes","none"
"Liberia","4.1 Multi-sector and One Health collaboration/coordination","unknown","B - Multi-sectoral working group(s) or coordination committee on AMR established with Government leadership.","none"
"Liberia","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","Yes","none"
"Liberia","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","Yes","none"
"Liberia","5.1 Country progress with development of a national action plan on AMR","unknown","E - National AMR action plan has funding sources identified, is being implemented, and has relevant sectors involved with a defined monitoring and evaluation process in place.","none"
"Liberia","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","Yes","none"
"Liberia","5.3 If you have published your AMR national action plan, please insert a link here.","unknown","Not yet","none"
"Liberia","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","Yes","none"
"Liberia","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","Yes","none"
"Liberia","6.1 Raising awareness and understanding of AMR risks and response","unknown","D - Nationwide, government-supported antimicrobial resistance awareness campaign targeting all or the majority of priority stakeholder groups, based on stakeholder analysis, utilizing targeted messaging accordingly within sectors.","none"
"Liberia","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","Some activities done in this sector","none"
"Liberia","6.3 Training and professional education on AMR in the veterinary sector","unknown","B - Ad hoc AMR training courses available for veterinary related professionals.","none"
"Liberia","6.5 Progress with strengthening veterinary services","unknown","D - Monitoring of Veterinary Services performance carried out regularly, e.g. through PVS Evaluation Follow Up missions.","none"
"Liberia","7.2 National monitoring system for antimicrobials intended to be used in animals (terrestrial and aquatic) (sales/use)","unknown","A - No national plan or system for monitoring sales/use of antimicrobials in animals.","none"
"Liberia","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Animal (terrestrial and/or aquatic) isolates linked to animal disease.]","unknown","N/A","none"
"Liberia","7.5 (b) AMR surveillance is routinely undertaken in animals for the following categories: [Zoonotic pathogenic bacteria]","unknown","N/A","none"
"Liberia","8.2 Good health, management and hygiene practices to reduce the use of antimicrobials and minimize development and transmission of AMR in animal production (terrestrial and aquatic)","unknown","C - National plan agreed to ensure good production practices in line with international standards (e.g. OIE Terrestrial and Aquatic Codes, Codex Alimentarius). Nationally agreed guidance for good production practices developed, adapted for implementation at local farm and food production level.","none"
"Liberia","9.2 Optimizing antimicrobial use in animal health (terrestrial and aquatic)","unknown","B - National legislation covers some aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products.","none"
"Liberia","10. National assessment of risks for AMR transmission in the environment and pollution control. Legislation and/or regulations to prevent contamination of the environment with antimicrobials [Discharges from intensive animal (terrestrial and aquatic) production (liquid waste and manure) a) disposal into the environment][Are risk reduction actions underway-]","unknown","Yes","none"
"South Africa","4.1 Multi-sector and One Health collaboration/coordination","unknown","D - Joint working on issues including agreement on common objectives.","none"
"South Africa","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","No","none"
"South Africa","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","No","none"
"South Africa","5.1 Country progress with development of a national action plan on AMR","unknown","C - National AMR action plan developed.","none"
"South Africa","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","Yes","none"
"South Africa","5.3 If you have published your AMR national action plan, please insert a link here.","unknown","www.health.gov.za/index.php/antimicrobial-resistance","none"
"South Africa","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","No","none"
"South Africa","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","Yes","none"
"South Africa","6.1 Raising awareness and understanding of AMR risks and response","unknown","D - Nationwide, government-supported antimicrobial resistance awareness campaign targeting all or the majority of priority stakeholder groups, based on stakeholder analysis, utilizing targeted messaging accordingly within sectors.","none"
"South Africa","6.1.1 For the level selected above, please indicate the extent of involvement of the sectors below. [Animal Health (terrestrial and aquatic)]","unknown","Some activities done in this sector","none"
"South Africa","6.3 Training and professional education on AMR in the veterinary sector","unknown","C - AMR and prudent use of antimicrobial agents are covered in core curricula for graduating veterinarians and for veterinary paraprofessionals in some educational institutions.","none"
"South Africa","6.5 Progress with strengthening veterinary services","unknown","D - Monitoring of Veterinary Services performance carried out regularly, e.g. through PVS Evaluation Follow Up missions.","none"
